"ID","MK-ID","community","count","inCore","info","betweenness"
"Zheng J, 2011, SCIENTOMETRICS","WOS:000287665900014",5,3,True,"WOS:000287665900014, Zheng Jia, Industry evolution and key technologies in China based on patent analysis, SCIENTOMETRICS, 87, 175",0.0
"Mohammadi E, 2012, SCIENTOMETRICS","WOS:000307517500005",5,1,True,"WOS:000307517500005, Mohammadi Ehsan, Knowledge mapping of the Iranian nanoscience and technology: a text mining approach, SCIENTOMETRICS, 92, 593",0.0
"Chen Kh, 2012, SCIENTOMETRICS","WOS:000305686800007",1,4,True,"WOS:000305686800007, Chen Kuang-hua, A comparative study on world university rankings: a bibliometric survey, SCIENTOMETRICS, 92, 89",0.0
"Allen D, 2011, J AM SOC INF SCI TEC","WOS:000296453900007",8,3,True,"WOS:000296453900007, Allen David, Information Behavior and Decision Making in Time-Constrained Practice: A Dual-Processing Perspective, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 2165",0.003
"Zyczkowski K, 2010, SCIENTOMETRICS","WOS:000280947400022",4,4,True,"WOS:000280947400022, Zyczkowski Karol, Citation graph weighted impact factors and performance indices, SCIENTOMETRICS, 85, 301",0.0
"Buter Rk, 2011, SCIENTOMETRICS","WOS:000286496200008",4,4,True,"WOS:000286496200008, Buter Reindert K., Searching for converging research using field to field citations, SCIENTOMETRICS, 86, 325",0.0
"Hjorland B, 2010, J AM SOC INF SCI TEC","WOS:000276991500019",15,16,True,"WOS:000276991500019, Hjorland Birger, Answer to Professor Szostak (concept theory), JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1078",0.0
"Hirsch Je, 2010, SCIENTOMETRICS","WOS:000283090300008",5,26,True,"WOS:000283090300008, Hirsch J. E., An index to quantify an individual's scientific research output that takes into account the effect of multiple coauthorship, SCIENTOMETRICS, 85, 741",0.021
"Hennemann S, 2012, J INFORMETR","WOS:000301364100006",4,6,True,"WOS:000301364100006, Hennemann Stefan, The myth of global science collaboration-Collaboration patterns in epistemic communities, JOURNAL OF INFORMETRICS, 6, 217",0.001
"Kousha K, 2011, J AM SOC INF SCI TEC","WOS:000296453900006",11,10,True,"WOS:000296453900006, Kousha Kayvan, Assessing the Citation Impact of Books: The Role of Google Books Google Scholar and Scopus, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 2147",0.005
"Serenko A, 2010, J INFORMETR","WOS:000281616200001",11,8,True,"WOS:000281616200001, Serenko Alexander, The development of an AI journal ranking based on the revealed preference approach, JOURNAL OF INFORMETRICS, 4, 447",0.001
